[01/16/17 11:53:28] Server Open OK # Port:5000
[01/16/17 14:07:00] Frame : 25  Loop : 50938
[01/16/17 14:07:01] Frame : 25  Loop : 56250
[01/16/17 14:07:02] Frame : 25  Loop : 56202
[01/16/17 14:07:03] Frame : 25  Loop : 45596
[01/16/17 14:07:04] Frame : 25  Loop : 63409
[01/16/17 14:07:05] Frame : 25  Loop : 56335
[01/16/17 14:07:06] Frame : 25  Loop : 53641
[01/16/17 14:07:07] Frame : 25  Loop : 60993
[01/16/17 14:07:08] Frame : 26  Loop : 52998
[01/16/17 14:07:09] Frame : 25  Loop : 60262
[01/16/17 14:07:10] Frame : 25  Loop : 59802
[01/16/17 14:07:11] Frame : 25  Loop : 50650
[01/16/17 14:07:12] Frame : 26  Loop : 56641
[01/16/17 14:07:13] Frame : 25  Loop : 53622
[01/16/17 14:07:14] Frame : 25  Loop : 55614
[01/16/17 14:07:15] Frame : 25  Loop : 60592
[01/16/17 14:07:16] Frame : 26  Loop : 52538
[01/16/17 14:07:17] Frame : 25  Loop : 61378
[01/16/17 14:07:18] Frame : 25  Loop : 52702
